City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
320,klyuchi,52.2667,79.1667,22.42,77,100,17.16,RU,1704414775
321,monteagudo,-19.8167,-63.9833,71.74,74,100,2.57,BO,1704414775
322,guider,9.9342,13.9486,73.06,17,10,5.97,CM,1704414776
323,northam,51.0333,-4.2167,47.66,84,100,13.06,GB,1704414776
324,saint clair,38.55,-89.9168,35.78,73,20,4.61,US,1704414777
325,tolanaro,-25.0319,46.9987,75.27,94,75,11.5,MG,1704414777
326,sao paulo de olivenca,-3.3783,-68.8725,75.61,96,100,1.92,BR,1704414778
327,adrar,20.5022,-10.0711,63.34,17,0,8.03,MR,1704414779
328,al kharijah,25.4514,30.5464,53.78,44,0,8.43,EG,1704414780
329,zhangjiakou,40.81,114.8794,14.76,82,94,1.16,CN,1704414781
330,nasiriyah,31.0521,46.261,57.61,61,0,7.25,IQ,1704414782
331,ingeniero guillermo n. juarez,-23.9,-61.85,82.99,41,0,1.48,AR,1704414782
332,lima,-12.0432,-77.0282,76.89,71,75,10.36,PE,1704414635
333,mahina,-17.5065,-149.489,85.77,70,75,5.75,PF,1704414784
334,vuktyl,63.8567,57.3094,-22.9,100,100,3.0,RU,1704414784
335,antofagasta,-23.65,-70.4,69.08,81,31,2.86,CL,1704414785
336,lautoka,-17.6167,177.4667,89.46,62,40,14.97,FJ,1704414785
337,bokkos,9.3,9.0,62.19,20,100,7.23,NG,1704414786
338,kodiak,57.79,-152.4072,36.91,87,100,16.11,US,1704414787
339,la passe,45.5549,-0.8967,50.23,87,100,8.39,FR,1704414787
340,prince rupert,54.3161,-130.3201,44.29,90,40,24.16,CA,1704414788
341,arvayheer,46.2639,102.775,-0.96,77,0,6.96,MN,1704414789
342,amarante do maranhao,-5.5667,-46.7422,74.44,92,100,0.67,BR,1704414790
343,kerikeri,-35.2268,173.9474,71.47,63,100,5.75,NZ,1704414791
344,petropavlovsk-kamchatsky,53.0452,158.6483,6.46,83,75,8.99,RU,1704414547
345,tarawa,1.419,172.984,84.29,79,75,8.05,KI,1704414792
346,solnechnyy,50.7214,136.6319,-7.98,88,100,5.53,RU,1704414793
347,lazaro cardenas,17.9583,-102.2,75.43,74,0,4.9,MX,1704414777
348,mossel bay,-34.1831,22.146,62.53,90,100,7.76,ZA,1704414794
349,kapa'a,22.0752,-159.319,82.38,74,0,6.91,US,1704414795
350,tual,-5.6667,132.75,83.39,75,24,1.5,ID,1704414795
351,punta del este,-34.9667,-54.95,71.71,82,0,10.36,UY,1704414603
352,nea alikarnassos,35.3333,25.1667,64.81,82,20,6.91,GR,1704414797
353,ancud,-41.8697,-73.8203,59.18,97,100,6.17,CL,1704414798
354,xilin hot,43.9667,116.0333,5.18,96,97,6.26,CN,1704414798
355,neryungri,56.6709,124.6491,-15.99,100,100,2.89,RU,1704414799
356,saint-joseph,-21.3667,55.6167,77.38,86,100,3.62,RE,1704414799
357,jamestown,42.097,-79.2353,27.99,80,100,5.99,US,1704414020
358,nagqu,31.5,92.0,1.78,59,79,3.04,CN,1704414800
359,bonthe,7.5264,-12.505,78.98,86,97,2.8,SL,1704414801
360,vihti,60.417,24.3197,4.51,80,100,11.01,FI,1704414802
361,ruteng,-8.6136,120.4721,72.28,78,98,0.74,ID,1704414804
362,porto novo,6.4965,2.6036,84.02,82,9,6.24,BJ,1704414805
363,ghadamis,30.1337,9.5007,56.57,43,50,9.62,LY,1704414805
364,holdrege,40.4403,-99.3698,30.11,100,100,8.05,US,1704414806
365,pikeville,37.4793,-82.5188,34.61,81,0,3.44,US,1704414807
366,vrbas,45.5714,19.6408,44.92,86,46,5.32,RS,1704414807
367,hithadhoo,-0.6,73.0833,82.67,76,81,9.19,MV,1704414808
368,zunyi,27.6867,106.9072,46.63,86,97,1.34,CN,1704414805
369,paracuru,-3.41,-39.0306,83.1,80,21,9.78,BR,1704414809
370,mme-bafumen,6.3333,10.2333,62.74,30,58,2.93,CM,1704414810
371,mega,4.05,38.3,60.84,44,0,4.29,ET,1704414812
